"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Canada+West+Accountants+Limited/data=!4m7!3m6!1s0x5485d798fd43d531:0xec287b2ce9361865!8m2!3d49.2018869!4d-122.8080931!16s%2Fg%2F11vjmgbwwz!19sChIJMdVD_ZjXhVQRZRg26Sx7KOw?authuser=0&hl=en&rclk=1","Canada West Accountants Limited","5.0","(27)","Accounting firm","·","10995 Partridge Cres","Open","⋅ Closes 5:30 p.m.","·","(604) 621-2269","http://cwaccountants.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their knowledge and attention to detail ensured a simple tax filing process.""","",""
"https://www.google.com/maps/place/Raj+Pandher+CPA+Inc.+-+US+Canada+Cross+Border+Tax+Accountant/data=!4m7!3m6!1s0x5485c54b752d2ff5:0xb60f728d82913e4b!8m2!3d49.0596956!4d-122.7973807!16s%2Fg%2F11s63xr08r!19sChIJ9S8tdUvFhVQRSz6Rgo1yD7Y?authuser=0&hl=en&rclk=1","Raj Pandher CPA Inc. - US Canada Cross Border Tax Accountant","4.8","(52)","Accountant","·","15350 Croydon Dr #201","Open","⋅ Closes 5 p.m.","·","(778) 205-6000","https://rajpandhercpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Raj was a lifesaver in handling my complicated US/Canada tax situation.""","",""
"https://www.google.com/maps/place/St+Arnaud+Pinsent+Steman+Chartered+Professional+Accountants/data=!4m7!3m6!1s0x53a022bc401a479f:0x6a4f4b8ed95aeb68!8m2!3d53.4180278!4d-113.478468!16s%2Fg%2F1th1tqyt!19sChIJn0caQLwioFMRaOta2Y5LT2o?authuser=0&hl=en&rclk=1","St Arnaud Pinsent Steman Chartered Professional Accountants","5.0","(358)","Accountant","·","·","Open","⋅ Closes 5 p.m.","1653 91 St SW","(780) 448-0399","http://sps-ca.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They provide excellent and expertise work on our yearend audits.""","","·"
"https://www.google.com/maps/place/Hutcheson+%26+Co/data=!4m7!3m6!1s0x548f7489166e39df:0xc5e5c2e9502fb62f!8m2!3d48.4247563!4d-123.3523944!16s%2Fg%2F1tr9n3f1!19sChIJ3zluFol0j1QRL7YvUOnC5cU?authuser=0&hl=en&rclk=1","Hutcheson & Co","5.0","(57)","Certified public accountant","·","·","Open","⋅ Closes 5 p.m.","1137 Yates St #200","(250) 381-2400","http://www.hutcheson.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He kindly and promptly replied with clear information.""","","·"
"https://www.google.com/maps/place/Phil+Hogan,+CPA,+CA,+CPA%28CO%29/data=!4m7!3m6!1s0x548f7566d9dc3121:0xa39305944f0eaf53!8m2!3d48.4229873!4d-123.3525473!16s%2Fg%2F11gzqkbfr_!19sChIJITHc2WZ1j1QRU68OT5QFk6M?authuser=0&hl=en&rclk=1","Phil Hogan, CPA, CA, CPA(CO)","5.0","(104)","Tax preparation","·","1133 Fort St","Open","⋅ Closes 5 p.m.","·","(250) 661-9417","http://beaconhillwm.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Phil is knowledgable and gives clear tax advise.""","",""
"https://www.google.com/maps/place/Spurrell+%26+Associates+CPA+%7C+Business+Consultant+%7C+CFO+Services/data=!4m7!3m6!1s0x53a0224675c4cec9:0xeeb282119af5fe38!8m2!3d53.5432429!4d-113.511728!16s%2Fg%2F1tfk43b7!19sChIJyc7EdUYioFMROP71mhGCsu4?authuser=0&hl=en&rclk=1","Spurrell & Associates CPA | Business Consultant | CFO Services","4.9","(678)","Accountant","·","10207 111 St NW","Open","⋅ Closes 7 p.m.","·","(780) 665-4949","https://www.spurrell.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They made my tax filing hassle-free and efficient.""","",""
"https://www.google.com/maps/place/*+U.S.+Tax+IRS+Acceptance+Agent+-+Lily+Lo+CPA+%28U.S.+%26+Canada%29+Cross-Border+Tax/data=!4m7!3m6!1s0x53a023efc3be4a23:0x5da3a31679aaf431!8m2!3d53.5400638!4d-113.5967081!16s%2Fg%2F11fj5dqr24!19sChIJI0q-w-8joFMRMfSqeRajo10?authuser=0&hl=en&rclk=1","* U.S. Tax IRS Acceptance Agent - Lily Lo CPA (U.S. & Canada) Cross-Border Tax","4.7","(148)","Tax consultant","·","15915 100a Ave NW","Open","⋅ Closes 5 p.m.","·","(780) 800-0237","http://lilylocpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are thorough, responsible, and make tax filing stress-free.""","",""
"https://www.google.com/maps/place/Future+CPA+Inc./data=!4m7!3m6!1s0x5485d93f192b66c5:0x30ad0d26d6e5aae0!8m2!3d49.141435!4d-122.8656959!16s%2Fg%2F11nsr_0xcw!19sChIJxWYrGT_ZhVQR4Krl1iYNrTA?authuser=0&hl=en&rclk=1","Future CPA Inc.","5.0","(51)","Accounting firm","·","12877 76 Ave","Open","⋅ Closes 5 p.m.","·","(604) 593-5065","https://www.futurecpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Thanks to his guidance, I now feel confident and stress-free about my taxes.""","",""
